,geometry,type,description
10,"LINESTRING (-106.1567173 36.144614093, -106.1563785 36.144545496, -106.156180702 36.144270696, -106.1557004 36.143148899, -106.153836302 36.140745297, -106.152932502 36.139440395, -106.152565107 36.1383643, -106.152423501 36.137219496, -106.152140707 36.136051796)",main,The mainflow river upstream of USGS-08290000
11,"LINESTRING (-106.156491704 36.145300999, -106.1564916 36.144797295, -106.1567173 36.144614093)",main,The mainflow river upstream of USGS-08290000
12,"LINESTRING (-106.1586674 36.149376094, -106.1583286 36.149330497, -106.157368407 36.148552194, -106.157029405 36.148002796, -106.156803206 36.147315994, -106.156802602 36.145987995, -106.156491704 36.145300999)",main,The mainflow river upstream of USGS-08290000
13,"LINESTRING (-106.159345403 36.150245897, -106.159317106 36.150062799, -106.158837005 36.149673693, -106.1586674 36.149376094)",main,The mainflow river upstream of USGS-08290000
14,"LINESTRING (-106.161154501 36.1547333, -106.160900302 36.154573098, -106.160900205 36.154412799, -106.160561301 36.154069498, -106.159826703 36.152901798, -106.159854501 36.151985995, -106.159939103 36.151756994, -106.1599387 36.150955595, -106.1596561 36.150360398, -106.159345403 36.150245897)",main,The mainflow river upstream of USGS-08290000
15,"LINESTRING (-106.1647714 36.160089798, -106.163952403 36.159861095, -106.163048707 36.159449399, -106.162512004 36.159083195, -106.161749102 36.158075996, -106.161466502 36.157412097, -106.161409006 36.155671999, -106.161154501 36.1547333)",main,The mainflow river upstream of USGS-08290000
16,"LINESTRING (-106.169401005 36.158485293, -106.168667004 36.158600099, -106.167848304 36.158829398, -106.167425007 36.159172997, -106.167030007 36.159676798, -106.166493706 36.159928896, -106.165590204 36.160066597, -106.1647714 36.160089798)",main,The mainflow river upstream of USGS-08290000
17,"LINESTRING (-106.174342707 36.159513496, -106.172027506 36.159308396, -106.170813203 36.159034096, -106.169994101 36.158599496, -106.169401005 36.158485293)",main,The mainflow river upstream of USGS-08290000
18,"LINESTRING (-106.176658802 36.160519794, -106.175585702 36.160360098, -106.174851403 36.160085596, -106.174427606 36.159719497, -106.174342707 36.159513496)",main,The mainflow river upstream of USGS-08290000
19,"LINESTRING (-106.178890005 36.1613888, -106.1783254 36.161434993, -106.177478202 36.161252193, -106.177110903 36.161023393, -106.176658802 36.160519794)",main,The mainflow river upstream of USGS-08290000
20,"LINESTRING (-106.179257303 36.161548898, -106.178890005 36.1613888)",main,The mainflow river upstream of USGS-08290000
21,"LINESTRING (-106.1794843 36.163105898, -106.179257303 36.161548898)",main,The mainflow river upstream of USGS-08290000
22,"LINESTRING (-106.180135101 36.164983198, -106.179739706 36.164845996, -106.179372303 36.164273694, -106.179399602 36.163220398, -106.1794843 36.163105898)",main,The mainflow river upstream of USGS-08290000
23,"LINESTRING (-106.182395101 36.166287094, -106.181265503 36.166127399, -106.180672206 36.165601097, -106.180135101 36.164983198)",main,The mainflow river upstream of USGS-08290000
24,"LINESTRING (-106.186013006 36.170498095, -106.185222201 36.170338295, -106.184685402 36.170086697, -106.183979101 36.169583395, -106.183667906 36.168896593, -106.183638901 36.167980798, -106.183525503 36.167408496, -106.183271103 36.166996494, -106.182395101 36.166287094)",main,The mainflow river upstream of USGS-08290000
25,"LINESTRING (-106.189458206 36.1704733, -106.186013006 36.170498095)",main,The mainflow river upstream of USGS-08290000
26,"LINESTRING (-106.192367002 36.170654699, -106.192338802 36.170746297, -106.191661201 36.170838393, -106.190305702 36.170839198, -106.189599507 36.170610599, -106.189458206 36.1704733)",main,The mainflow river upstream of USGS-08290000
27,"LINESTRING (-106.194378503 36.177751496, -106.194237307 36.177751593, -106.193474002 36.176813297, -106.1931343 36.176034994, -106.193105601 36.175485596, -106.193020806 36.175393999, -106.193076901 36.174981795, -106.193922907 36.173721999, -106.194938906 36.172942899, -106.195079602 36.172507696, -106.194824703 36.171637699, -106.194146305 36.171019897, -106.193694405 36.170837097, -106.192367002 36.170654699)",main,The mainflow river upstream of USGS-08290000
28,"LINESTRING (-106.197514705 36.179123297, -106.196441501 36.179055296, -106.1958763 36.178712294, -106.195339501 36.178506494, -106.194463506 36.177957594, -106.194378503 36.177751496)",main,The mainflow river upstream of USGS-08290000
29,"LINESTRING (-106.201079205 36.184959695, -106.200909004 36.184318595, -106.200823203 36.183150999, -106.200625107 36.182784699, -106.200229302 36.182395793, -106.199918002 36.181915194, -106.199239701 36.1814119, -106.198164903 36.179695293, -106.197514705 36.179123297)",main,The mainflow river upstream of USGS-08290000
30,"LINESTRING (-106.209386401 36.1879531, -106.209245503 36.188250795, -106.2087657 36.188640393, -106.208257601 36.188846998, -106.207692802 36.188938998, -106.207269102 36.1889164, -106.205884501 36.188436598, -106.2052342 36.187887497, -106.204527706 36.187475897, -106.203143306 36.187202096, -106.2020697 36.186813593, -106.2017022 36.186516196, -106.201334402 36.185921095, -106.201079205 36.184959695)",main,The mainflow river upstream of USGS-08290000
31,"LINESTRING (-106.211955406 36.186920799, -106.211051807 36.187058896, -106.210374504 36.187585995, -106.209894605 36.187700793, -106.209386401 36.1879531)",main,The mainflow river upstream of USGS-08290000
32,"LINESTRING (-106.214694604 36.186437897, -106.214581907 36.186666898, -106.214328006 36.186873198, -106.213960804 36.186942197, -106.211955406 36.186920799)",main,The mainflow river upstream of USGS-08290000
33,"LINESTRING (-106.2174628 36.186641596, -106.217236802 36.186573096, -106.2170671 36.186412998, -106.216021903 36.186230697, -106.214694604 36.186437897)",main,The mainflow river upstream of USGS-08290000
